Available from: "http://www.isa.ulisboa.pt/proj/clipick/climaterequest_fast.php?ar=5&lat=38.7087&lon=-9.1849&mod=hisafe&fmt=csv&tspan=d&sd=01&sm=01&sy=1981&ed=31&em=12&ey=2010&dts=knmievaluation"
Day,Month,Year,tasmax,tasmin,hurs,evspsbl,rsds,pr,sfcWind
24,8,1981,29.30,17.32,73.73,0.63,24.81,0.01,4.86
25,8,1981,27.70,18.45,80.03,0.29,16.81,0.01,3.53
26,8,1981,26.38,17.83,81.24,0.36,23.32,0.09,2.65
27,8,1981,29.91,17.11,71.80,0.39,24.20,0.06,4.30
28,8,1981,27.98,17.32,69.56,0.26,24.44,0.00,6.32
29,8,1981,26.21,17.27,71.51,0.22,22.14,0.00,5.53
30,8,1981,23.87,16.91,71.06,0.22,20.66,0.00,4.55
31,8,1981,22.74,16.43,73.08,0.17,12.93,0.02,3.92
1,9,1981,24.88,15.65,70.42,0.25,22.49,0.00,4.68
2,9,1981,28.78,16.48,65.79,0.28,23.66,0.00,6.33
3,9,1981,34.28,16.49,56.19,0.37,23.95,0.00,3.83
4,9,1981,26.99,17.05,73.67,0.23,23.35,0.00,2.71
5,9,1981,31.32,17.19,61.44,0.31,22.96,0.01,2.49
6,9,1981,28.06,17.98,69.55,0.25,21.62,0.01,2.88
7,9,1981,30.12,17.65,64.69,0.28,22.16,0.00,3.18
8,9,1981,31.61,17.91,67.04,0.68,15.01,0.89,3.22
9,9,1981,28.64,17.85,74.23,0.90,22.25,0.58,4.81
10,9,1981,24.14,18.26,72.55,0.40,19.08,0.02,4.14
11,9,1981,25.32,19.32,84.17,0.77,14.03,1.10,2.94
12,9,1981,25.04,18.91,78.23,0.53,16.28,0.02,2.36
13,9,1981,29.39,16.71,60.96,0.51,21.36,0.00,3.15
14,9,1981,29.47,16.48,64.64,0.33,21.55,0.00,2.28
15,9,1981,32.15,16.29,59.93,0.31,21.30,0.00,2.32
16,9,1981,33.16,21.07,53.04,0.30,20.34,0.00,2.77
17,9,1981,32.43,18.67,58.62,0.27,20.88,0.00,3.47
18,9,1981,30.33,18.50,66.70,0.22,18.01,0.00,4.63
19,9,1981,31.00,17.87,68.78,0.24,20.50,0.00,4.04
20,9,1981,23.67,18.20,81.70,0.16,12.97,0.17,4.00
21,9,1981,20.57,14.51,86.88,1.44,5.41,17.64,3.51
22,9,1981,20.93,14.51,71.31,2.49,15.32,0.04,4.77
23,9,1981,23.14,14.64,73.94,2.46,19.75,0.00,5.63
24,9,1981,21.98,15.02,76.38,2.00,19.81,0.05,4.54
25,9,1981,21.50,18.28,86.63,1.21,6.04,3.82,7.22
26,9,1981,20.10,15.14,72.57,2.85,13.38,7.15,6.92
27,9,1981,19.88,14.79,75.64,1.89,10.38,0.84,4.06
28,9,1981,21.28,14.06,79.25,1.80,16.41,0.00,1.48
29,9,1981,25.22,15.50,83.77,1.87,17.99,0.00,2.41
30,9,1981,26.74,15.67,77.99,1.84,18.18,0.00,2.57
1,10,1981,21.10,17.29,70.02,1.39,10.82,0.52,4.96
2,10,1981,20.82,17.17,70.30,1.08,11.48,0.12,4.71
3,10,1981,20.89,16.83,89.04,1.17,4.71,4.43,6.20
4,10,1981,21.35,17.00,87.18,1.08,7.70,1.66,6.32
5,10,1981,20.40,17.30,86.25,2.29,9.83,22.30,6.67
6,10,1981,19.74,13.57,78.64,1.89,12.24,0.61,3.23
7,10,1981,23.16,12.02,74.47,2.40,17.49,0.00,3.63
